Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,gemma3/infer,33,0,445000.0,398486.05255675624,35495.99770898931,547766.8840000115,27477.878787878788,0.02560270573102133,0.0,445000,467000,471000,491000,508000,517000,548000,548000,548000,548000,548000
POST,meta-llama/infer,298,0,31000.0,44567.81017475183,10194.383416004712,104814.21833302011,21517.442953020134,0.23120019114679868,0.0,31000,48000,66000,81000,93000,100000,103000,103000,105000,105000,105000
POST,mistral/infer,321,0,43000.0,51332.74219975675,10369.458583008964,117362.37983297906,23093.557632398755,0.24904450120175295,0.0,43000,63000,75000,83000,95000,101000,104000,106000,117000,117000,117000
,Aggregated,652,0,39000.0,65811.43774934186,10194.383416004712,547766.8840000115,22595.092024539877,0.5058473980795729,0.0,39000,64000,78000,87000,100000,117000,462000,491000,548000,548000,548000
