Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,gemma3/infer,2397,2397,5500.0,4363.989426921232,11.417250003432855,12612.597416999051,960.5452649144764,1.798337741237151,1.798337741237151,5500,6500,7000,7200,8100,9000,10000,11000,12000,13000,13000
POST,meta-llama/infer,148,45,129000.0,80020.26044395952,11.201874993275851,137291.98433298734,23164.756756756757,0.11103628940471354,0.03376103394062236,129000,131000,132000,132000,133000,135000,137000,137000,137000,137000,137000
POST,mistral/infer,148,55,117000.0,73642.41005064854,11.546791007276624,150862.15529200854,16877.986486486487,0.11103628940471354,0.04126348592742733,121000,126000,129000,131000,134000,139000,150000,150000,151000,151000,151000
,Aggregated,2693,2497,5700.0,12329.208276840758,11.201874993275851,150862.15529200854,3055.608243594504,2.020410320046578,1.8733622611052008,5700,6700,7200,7700,9600,125000,132000,134000,150000,151000,151000
