test,model,batch_size,floating_point,concurrency,kv_cache,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,request/response,response wait
alpha,mistral,2,fp16,1:24:2,0,11,4.06473,50,831,578751,15,4798683,39,0,4212539,8358571,9624157,11411010,50,5378313
alpha,mistral,2,fp16,1:24:2,0,21,4.07397,50,772,946211,21,9372126,55,0,11678895,13562341,14648629,15045662,50,10319178
alpha,mistral,2,fp16,1:24:2,0,15,4.09249,51,813,705917,17,6612880,46,0,5634628,12311299,13238917,14947964,51,7319666
alpha,mistral,2,fp16,1:24:2,0,9,4.11101,51,796,276,17,4353923,38,0,3912592,7633998,7832159,8000058,51,4355045
alpha,mistral,2,fp16,1:24:2,0,7,4.26843,51,751,276,18,3286687,39,0,2808178,5561996,5692113,5946140,51,3287765
alpha,mistral,4,fp16,1:24:2,0,1,1.49997,51,888,286,21,2652152,42,0,2641359,2692754,2779585,2829658,51,2653382
alpha,mistral,4,fp16,1:24:2,0,3,4.44434,49,759,273,18,2703268,37,0,2689867,2781548,2817313,2842520,49,2704351
alpha,mistral,4,fp16,1:24:2,0,5,5.81469,49,758,271,19,3420314,40,0,2753185,5484112,5535570,5658570,49,3421397
alpha,mistral,4,fp16,1:24:2,0,23,7.7406,50,852,3523814,19,8163411,51,0,11700915,15011515,15261827,15712805,50,11688142
alpha,mistral,4,fp16,1:24:2,0,19,7.7776,49,851,1826199,18,7812500,50,0,9117407,12321465,12804298,14239151,49,9639613
alpha,mistral,4,fp16,1:24:2,0,13,7.79614,48,796,626469,16,5911562,43,0,6444603,8856966,10176937,10470354,48,6538880
alpha,mistral,4,fp16,1:24:2,0,15,7.79615,50,843,704512,18,6978274,46,0,8356708,9402599,10268607,10540085,50,7683687
alpha,mistral,4,fp16,1:24:2,0,11,7.90728,50,805,551424,15,5030832,41,0,4651714,8475986,8848550,10442183,50,5583111
alpha,mistral,4,fp16,1:24:2,0,17,7.92578,50,842,889600,20,7794777,50,0,8491906,10367803,11965633,12448696,50,8685283
alpha,mistral,4,fp16,1:24:2,0,21,7.96273,50,840,2551162,20,8190260,51,0,9376630,14560259,14705799,14916371,50,10742326
alpha,mistral,4,fp16,1:24:2,0,9,7.96276,52,728,273,18,4528505,39,0,4053065,7921774,8049923,8332915,52,4529556
alpha,mistral,4,fp16,1:24:2,0,7,8.18501,50,783,274,19,3408775,41,0,2860061,5680841,5737279,5862714,50,3409887
alpha,meta-llama,1,fp16,1:24:2,0,1,0.370364,50,738,276,21,2695475,40,0,2688743,2751722,2755492,2780440,50,2696545
alpha,meta-llama,1,fp16,1:24:2,0,3,0.884238,49,789,283,18,3416158,37,0,3365962,3802697,3900756,4067678,49,3417279
alpha,meta-llama,1,fp16,1:24:2,0,5,1.02776,50,801,281,19,4797439,41,0,3965520,7708673,8340611,9025376,50,4798577
alpha,meta-llama,1,fp16,1:24:2,0,7,1.36571,51,815,288,18,5136403,39,0,4471111,8679375,9000993,9491436,51,5137558
alpha,meta-llama,1,fp16,1:24:2,0,23,1.54625,52,846,1186830,22,13021985,59,0,15233842,30685100,32092057,32936702,52,14209736
alpha,meta-llama,1,fp16,1:24:2,0,9,1.56941,51,796,278,18,5676115,38,0,5064039,9879674,10125714,10373083,51,5677240
alpha,meta-llama,1,fp16,1:24:2,0,17,1.57404,52,841,888697,20,9724756,52,0,7680898,20267637,20593202,22222478,52,10614359
alpha,meta-llama,1,fp16,1:24:2,0,15,1.57866,52,857,821625,19,8652661,48,0,6141325,19523829,20867686,22820504,52,9475203
alpha,meta-llama,1,fp16,1:24:2,0,13,1.59256,49,747,757568,17,7294365,46,0,5939615,14693104,15256989,17504196,49,8052738
alpha,meta-llama,1,fp16,1:24:2,0,19,1.59256,52,859,975744,21,11059251,52,0,12419479,20286729,20811952,23782604,52,12035920
alpha,meta-llama,1,fp16,1:24:2,0,11,1.59256,51,771,682479,15,6237705,42,0,5665421,10674804,11011252,12787125,51,6921006
alpha,meta-llama,1,fp16,1:24:2,0,21,1.60182,51,819,1058159,23,11818831,55,0,11781707,30593167,32141771,33331351,51,12877882
alpha,meta-llama,2,fp16,1:24:2,0,1,0.712948,53,789,269,21,2771338,41,0,2763212,2843718,2869645,2878323,53,2772453
