test,model,batch_size,floating_point,concurrency,kv_cache,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,request/response,response wait
delta,meta-llama,8,bf16,1:128:16,256,65,11.2713,86,816,39763360,15,5679235,37,0,45974066,47142199,47410237,48065492,86,45443455
delta,meta-llama,8,bf16,1:128:16,256,113,11.2837,125,804,73271466,15,5677573,41,0,79632898,81702821,82429884,84077328,125,78949891
delta,meta-llama,8,bf16,1:128:16,256,97,11.3209,64,770,61863913,15,5658812,39,0,68295410,69830019,70289277,71007263,64,67523541
delta,mistral,8,bf16,1:128:16,256,1,3.11108,52,746,274,19,2571316,41,0,2558074,2660325,2666739,2684082,52,2572388
delta,mistral,8,bf16,1:128:16,256,113,14.5181,111,841,57058959,15,4408646,42,0,62116030,63427067,63683800,64003176,111,61468494
delta,mistral,8,bf16,1:128:16,256,65,14.6044,75,859,30856633,14,4392250,39,0,35407510,37151705,37556843,37980404,75,35249786
delta,mistral,8,bf16,1:128:16,256,81,14.6048,61,821,39492159,15,4386146,41,0,44186182,45649175,46001285,46641654,61,43879175
delta,mistral,8,bf16,1:128:16,256,49,14.6295,68,877,22082347,14,4368553,39,0,26421330,28441369,28806203,29308274,68,26451817
delta,mistral,8,bf16,1:128:16,256,97,14.6295,61,829,47914727,15,4368682,41,0,52779482,54068566,54416799,55036757,61,52284285
delta,mistral,8,bf16,1:128:16,256,33,14.8146,57,798,13305812,14,4313293,41,0,17435797,19462562,19918271,20350263,57,17619949
delta,mistral,8,bf16,1:128:16,256,17,14.8147,56,789,4813980,14,4311068,40,0,8725484,11128219,11456555,11879197,56,9125883
epsilon,gemma3,8,bf16,1:512:64,4096,129,4.70356,1223,950,189766626,23,1697248,38,0,219079203,219172847,219184790,219209476,1223,191464849
epsilon,gemma3,8,bf16,1:512:64,4096,65,4.71591,1765,909,99291611,26,1697976,39,0,110356769,110412351,110420770,110438153,1765,100990550
epsilon,gemma3,8,bf16,1:512:64,4096,321,4.71598,406,881,533613183,21,1694717,40,0,544690010,546194877,546347579,546522848,406,535308832
epsilon,gemma3,8,bf16,1:512:64,4096,1,4.716,51,801,280,17,1694465,38,0,1690834,1696143,1697095,2230138,51,1695595
epsilon,gemma3,8,bf16,1:512:64,4096,385,4.72833,474,2338,621260201,24,1687860,41,0,649858723,650468701,650593628,650711099,474,622950454
epsilon,gemma3,8,bf16,1:512:64,4096,449,4.74061,81,885,648181798,15,1688313,42,0,649890857,650211613,650341158,650369322,81,649871043
epsilon,gemma3,8,bf16,1:512:64,4096,193,4.74068,259,882,314495999,22,1685088,39,0,325359166,325498684,325517981,325549682,259,316182021
epsilon,gemma3,8,bf16,1:512:64,4096,257,4.75303,869,858,404271742,24,1685962,38,0,432821411,433289681,433305656,433365406,869,405958614
epsilon,mistral,8,bf16,1:512:64,4096,1,3.13577,53,802,282,20,2547924,40,0,2550675,2629542,2646352,2693479,53,2549062
epsilon,mistral,8,bf16,1:512:64,4096,449,14.2343,729,909,246489628,15,4492268,40,0,251951313,253134963,253464952,253939155,729,250982852
epsilon,mistral,8,bf16,1:512:64,4096,257,14.3205,369,884,132418424,15,4474195,38,0,143237774,144603790,145179525,145938504,369,136893547
epsilon,mistral,8,bf16,1:512:64,4096,385,14.3207,202,880,199693980,15,4469433,39,0,214606173,216447891,216887938,217665198,202,204164338
epsilon,mistral,8,bf16,1:512:64,4096,321,14.3578,177,884,165282134,15,4452106,39,0,177696526,180186849,180680038,181934780,177,169735170
epsilon,mistral,8,bf16,1:512:64,4096,129,14.4316,657,847,64006883,15,4427042,40,0,70917454,72680310,73308354,74024763,657,68434817
epsilon,mistral,8,bf16,1:512:64,4096,193,14.5183,128,873,97122783,15,4415430,38,0,106294005,107941322,108435044,109413525,128,101539130
epsilon,mistral,8,bf16,1:512:64,4096,65,14.6167,824,843,30205212,15,4364463,39,0,35069100,37043876,37466714,38031116,824,34570561
epsilon,meta-llama,8,bf16,1:512:64,4096,1,2.98762,50,815,295,19,2677355,40,0,2688183,2740089,2746108,2756175,50,2678517
epsilon,meta-llama,8,bf16,1:512:64,4096,257,6.98757,727,911,279479833,15,9134232,41,0,292903540,294571944,295011792,295449861,727,288615022
epsilon,meta-llama,8,bf16,1:512:64,4096,193,7.02455,67,906,209569836,15,9123907,42,0,219583122,221325784,221550327,222110922,67,218694698
epsilon,meta-llama,8,bf16,1:512:64,4096,321,7.02459,276,951,343625641,15,9116628,42,0,364780826,366544083,366962506,367237500,276,352743268
epsilon,meta-llama,8,bf16,1:512:64,4096,65,11.2962,666,886,38694239,15,5631083,41,0,45233468,49108942,49513694,50179083,666,44326254
epsilon,meta-llama,8,bf16,1:512:64,4096,385,11.3578,80,858,265692530,15,5644849,40,0,271294119,272747117,273173949,273638503,80,271338283
epsilon,meta-llama,8,bf16,1:512:64,4096,129,11.3701,323,901,80490343,15,5641093,41,0,90518644,93260920,94088062,94916718,323,86132382
epsilon,meta-llama,8,bf16,1:512:64,4096,449,11.3949,807,884,304403509,15,5613831,40,0,315095170,316315437,316666940,317260354,807,310018270
zeta,gemma3,8,fp16,512:1024:64,8192,512,5.90113,7820,9310,692389668,18,2709978,43,0,693918210,695533683,724755898,749308680,7820,695109007
zeta,gemma3,8,fp16,512:1024:64,8192,640,5.91346,520,909,763988728,15,2703027,39,0,778168240,778888532,778989656,779072830,520,766692710
zeta,gemma3,8,fp16,512:1024:64,8192,576,5.92581,89,922,690688203,16,2703049,41,0,693629219,694648913,694810357,695010563,89,693392222
zeta,gemma3,8,fp16,512:1024:64,8192,704,5.938,557,914,838214171,15,2693092,41,0,863168355,864744507,865191103,865533998,557,840908226
zeta,gemma3,8,fp16,512:1024:64,8192,768,5.96282,622,2838,910615915,18,2686551,42,0,945791754,947599998,947751185,947899330,622,913305355
zeta,gemma3,8,fp16,512:1024:64,8192,832,6.01209,739,981,981892717,18,2662639,42,0,973346502,1027921252,1028572537,1029251337,739,984556388
zeta,gemma3,8,fp16,512:1024:64,8192,896,6.0122,2092,1008,1050818572,17,2658928,41,0,1025137968,1106206347,1106960750,1107579986,2092,1053478557
zeta,gemma3,8,fp16,512:1024:64,8192,1024,6.03686,842,998,1192436215,18,2648398,42,0,1186680055,1230792235,1262873985,1269530590,842,1195085662
zeta,gemma3,8,fp16,512:1024:64,8192,960,6.06156,777,959,1121108534,18,2640448,42,0,1105226713,1186877776,1187672990,1187884430,777,1123749991
zeta,mistral,8,fp16,512:1024:64,8192,512,14.4195,5539,908,270130376,16,8804009,41,0,281592569,282628556,283715226,286357157,5539,278935343
zeta,mistral,8,fp16,512:1024:64,8192,640,14.4195,301,979,338222209,16,8842599,40,0,352968182,354846876,355057420,355553577,301,347065836
zeta,mistral,8,fp16,512:1024:64,8192,576,14.4195,264,903,304627561,16,8805305,40,0,317940573,318492569,318676704,318876401,264,313433816
zeta,mistral,8,fp16,512:1024:64,8192,896,14.4564,390,1009,459559423,16,8837880,41,0,459245999,494992245,495239566,495569030,390,468398360
zeta,mistral,8,fp16,512:1024:64,8192,768,14.4811,348,1004,391434372,17,8796392,41,0,387807724,422097160,422251567,422454832,348,400231818
zeta,mistral,8,fp16,512:1024:64,8192,960,14.5181,420,1046,492980260,16,8814338,40,0,494863582,529107147,529417711,529831489,420,501795692
zeta,mistral,8,fp16,512:1024:64,8192,1024,14.5428,452,1078,525295827,15,8795989,40,0,529027710,562415596,562834907,563356981,452,534092942
zeta,mistral,8,fp16,512:1024:64,8192,832,14.5549,1100,1024,426306338,15,8830038,40,0,424649146,458738624,459388861,459841990,1100,435137448
zeta,mistral,8,fp16,512:1024:64,8192,704,14.5799,298,979,358948815,16,8802954,40,0,353670846,388398334,388592240,388949529,298,367752796
zeta,meta-llama,8,fp16,512:1024:64,8192,704,13.9256,338,964,372274650,16,9175521,42,0,367329170,403463352,403717351,404007026,338,381451185
zeta,meta-llama,8,fp16,512:1024:64,8192,832,13.9501,812,1029,441257462,15,9161642,41,0,440099791,476988367,477515146,477875304,812,450420181
zeta,meta-llama,8,fp16,512:1024:64,8192,1024,13.9502,460,1044,544014940,15,9156195,42,0,548836352,582641215,586475099,587182090,460,553172226
zeta,meta-llama,8,fp16,512:1024:64,8192,640,13.9627,311,972,349620092,15,9161659,41,0,366460022,367387947,367604796,367893213,311,358782770
zeta,meta-llama,8,fp16,512:1024:64,8192,576,13.9874,281,922,314656002,16,9159447,42,0,329143845,330833337,331261255,331560238,281,323816420
zeta,meta-llama,8,fp16,512:1024:64,8192,960,13.9996,453,999,509857869,15,9155575,41,0,512343435,549324483,549671726,550244192,453,519014491
zeta,meta-llama,8,fp16,512:1024:64,8192,896,13.9996,430,1008,475851179,15,9161537,42,0,476798372,512807724,513208252,513609853,430,485013772
zeta,meta-llama,8,fp16,512:1024:64,8192,768,14.012,374,942,406538829,16,9141594,41,0,404209525,438245955,438513709,439443760,374,415681413
zeta,meta-llama,8,fp16,512:1024:64,8192,512,14.0244,4886,925,278976643,15,9145935,41,0,292471068,293208765,293406337,294835316,4886,288123550
eta,gemma3,8,f16,1:24:8,0,9,4.72835,57,881,13351836,18,1691425,39,0,15156792,15654014,15674120,15691061,57,15044191
eta,gemma3,8,f16,1:24:8,0,1,4.74069,51,816,281,17,1686537,38,0,1680010,1685752,1687125,2215195,51,1687682
eta,gemma3,8,f16,1:24:8,0,17,4.7407,57,837,26575458,17,1689954,39,0,28629463,29115898,29130164,29154250,57,28266297
eta,gemma3,8,f16,1:128:16,0,113,4.5678,258,881,187990905,16,1748942,38,0,197465774,198144717,198274999,198303056,258,189740775
eta,gemma3,8,f16,1:128:16,0,81,4.56786,82,841,134398657,18,1748751,39,0,141671922,141824120,141839690,141860747,82,136148298
eta,gemma3,8,f16,1:128:16,0,49,4.56786,92,1218,80855262,17,1748789,39,0,85382666,86118096,86142570,86166085,92,82605316
eta,gemma3,8,f16,1:128:16,0,17,4.56786,68,914,27317939,18,1749820,39,0,29588573,30290176,30296997,30316296,68,29068722
eta,gemma3,8,f16,1:128:16,0,97,4.58011,69,1414,161212042,18,1749430,38,0,169611969,169799389,170334562,170458348,69,162962934
eta,gemma3,8,f16,1:128:16,0,33,4.58016,61,1124,54037774,18,1747430,40,0,57452971,58130459,58154978,58203359,61,55786378
eta,gemma3,8,f16,1:128:16,0,1,4.5802,51,502,282,17,1749053,37,0,1741494,1745711,1746731,1749133,51,1749885
eta,gemma3,8,f16,1:128:16,0,65,4.58021,62,847,107581000,17,1748315,37,0,113741861,113887303,113915053,113941987,62,109330207
eta,gemma3,8,bf16,1:24:8,0,1,4.77773,50,770,277,17,1672371,38,0,1666782,1670015,1671255,2165273,50,1673469
eta,gemma3,8,bf16,1:24:8,0,17,4.77774,56,826,26324123,25,1672315,40,0,28336831,28804604,28820179,28843197,56,27997322
eta,gemma3,8,bf16,1:24:8,0,9,4.79009,55,789,13201821,22,1671650,40,0,14990856,15467036,15485677,15507056,55,14874314
eta,gemma3,8,bf16,1:128:16,0,1,4.50612,51,727,277,17,1773781,38,0,1768346,1771429,1772631,1775623,51,1774836
eta,gemma3,8,bf16,1:128:16,0,97,4.51848,95,797,162719646,16,1767107,42,0,171318259,171557283,171571704,171585156,95,164487600
eta,gemma3,8,bf16,1:128:16,0,113,4.53078,228,767,189719656,16,1766424,42,0,199459573,200085400,200095450,200126886,228,191486897
eta,gemma3,8,bf16,1:128:16,0,49,4.53082,92,828,81587769,15,1765989,41,0,86222276,86958312,86999723,87012902,92,83354634
eta,gemma3,8,bf16,1:128:16,0,65,4.53082,66,833,108725596,15,1765858,42,0,114964846,115251228,115279396,115291664,66,110492334
eta,gemma3,8,bf16,1:128:16,0,81,4.53082,79,796,135644001,16,1764847,42,0,142942938,143049232,143077962,143138996,79,137409692
eta,gemma3,8,bf16,1:128:16,0,17,4.53083,61,843,27572116,18,1766600,41,0,29900089,30653276,30666696,30686122,61,29339611
eta,gemma3,8,bf16,1:128:16,0,33,4.53083,60,761,54601528,15,1765999,43,0,58035219,58774892,58795633,58825731,60,56368338
eta,gemma3,8,f32,1:24:8,0,1,3.61724,51,828,300,17,2209505,37,0,2204037,2207085,2208077,2691852,51,2210681
eta,gemma3,8,f32,1:24:8,0,17,3.61725,58,848,34583506,14,2210578,39,0,37483669,37923260,37953259,37968757,58,36794978
eta,gemma3,8,f32,1:24:8,0,9,3.61726,58,821,17388182,14,2210625,38,0,19839757,20306295,20332826,20359826,58,19599673
eta,gemma3,8,f32,1:128:16,0,1,3.50614,52,860,276,16,2277289,37,0,2271472,2273225,2273912,2275673,52,2278472
eta,gemma3,8,f32,1:128:16,0,17,3.50614,62,854,35277787,15,2279124,40,0,38597756,39221680,39230795,39263232,62,37557812
eta,gemma3,8,f32,1:128:16,0,65,3.50614,69,831,138456139,15,2276188,40,0,148081051,148239230,148247546,148280115,69,140733204
eta,gemma3,8,f32,1:128:16,0,113,3.51848,237,807,253619780,14,2275439,39,0,257060723,257693756,257709957,257783174,237,255896072
eta,gemma3,8,f32,1:128:16,0,97,3.51849,73,795,207038481,15,2274790,39,0,220553410,220733200,221137494,221220805,73,209314112
eta,gemma3,8,f32,1:128:16,0,81,3.51849,68,842,172752118,14,2276021,38,0,184401435,184545351,184555053,184562822,68,175029023
eta,gemma3,8,f32,1:128:16,0,49,3.51849,86,833,104074954,15,2276977,39,0,111279675,111926475,111935861,111954562,86,106352809
eta,gemma3,8,f32,1:128:16,0,33,3.51849,61,832,69628186,14,2276735,39,0,74930846,75562636,75575319,75604384,61,71905798
eta,mistral,8,f16,1:24:8,0,1,3.12342,53,833,302,21,2553760,41,0,2535401,2672250,2686321,2698292,53,2554950
eta,mistral,8,f16,1:24:8,0,9,14.6171,54,785,542590,15,4375107,38,0,4438659,7347856,7551623,7767763,54,4918528
eta,mistral,8,f16,1:24:8,0,17,14.6295,55,790,4860535,15,4354425,38,0,8836652,11439959,11691812,12082269,55,9215796
eta,mistral,8,f16,1:128:16,0,1,3.0617,52,842,302,21,2607804,41,0,2639111,2682767,2694582,2721312,52,2609003
eta,mistral,8,f16,1:128:16,0,81,14.4566,60,829,39867574,15,4427192,39,0,44678815,45866000,46111478,46449184,60,44295640
eta,mistral,8,f16,1:128:16,0,113,14.5306,117,843,56925086,15,4394433,39,0,61960820,62793533,62949541,63274429,117,61320408
eta,mistral,8,f16,1:128:16,0,97,14.5677,62,837,48292803,14,4401009,39,0,53195538,54239712,54520700,55032067,62,52694694
eta,mistral,8,f16,1:128:16,0,49,14.6048,72,861,22176686,14,4390447,39,0,26580378,28206958,28515969,29145598,72,26568039
eta,mistral,8,f16,1:128:16,0,65,14.6295,59,826,30711276,14,4370570,39,0,35263711,36736833,36997934,37292598,59,35082718
eta,mistral,8,f16,1:128:16,0,33,14.6295,57,774,13456870,14,4362089,39,0,17608596,19536420,19772354,20019500,57,17819778
eta,mistral,8,f16,1:128:16,0,17,14.7159,54,829,4846722,14,4341551,39,0,8789483,10991810,11250994,11449761,54,9189147
eta,mistral,8,f32,1:24:8,0,1,3.14812,49,855,285,20,2536574,40,0,2529497,2615649,2622561,2629121,49,2537768
eta,mistral,8,f32,1:24:8,0,17,14.6171,53,827,4869750,14,4373842,39,0,8815648,12600458,12848362,13186260,53,9244466
eta,mistral,8,f32,1:24:8,0,9,14.7282,54,800,537042,14,4332627,39,0,4384909,8287417,8542369,8758228,54,4870515
eta,mistral,8,f32,1:128:16,0,1,3.08639,52,802,282,20,2588800,41,0,2578703,2710367,2715096,2728177,52,2589937
eta,mistral,8,f32,1:128:16,0,113,14.3206,137,760,57745914,14,4464884,39,0,62838608,64152294,64594202,65667273,137,62211603
eta,mistral,8,f32,1:128:16,0,81,14.4196,58,835,39945823,15,4439107,39,0,44684689,46497142,47159506,47652378,58,44385811
eta,mistral,8,f32,1:128:16,0,97,14.4196,66,861,48751218,14,4441463,39,0,53635480,55190777,55793652,56647339,66,53193586
eta,mistral,8,f32,1:128:16,0,49,14.506,72,853,22327788,14,4418733,39,0,26748015,28758179,29231638,29616394,72,26747419
eta,mistral,8,f32,1:128:16,0,65,14.5184,59,786,30975031,14,4407593,39,0,35536641,37536574,37925264,38373911,59,35383455
eta,mistral,8,f32,1:128:16,0,33,14.5307,57,799,13562618,14,4401056,39,0,17801716,20179081,20565668,21029879,57,17964517
eta,mistral,8,f32,1:128:16,0,17,14.6171,53,732,4869319,14,4361386,38,0,8805151,11764298,12047929,12357938,53,9231481
eta,meta-llama,8,f16,1:24:8,0,1,2.93824,52,831,268,22,2723448,42,0,2721886,2785112,2790892,2799852,52,2724606
eta,meta-llama,8,f16,1:24:8,0,17,11.5554,55,846,6157644,15,5538451,39,0,11677583,12605622,12768200,12982443,55,11696987
eta,meta-llama,8,f16,1:24:8,0,9,11.6294,51,800,687197,14,5511908,38,0,6203613,6671900,6881603,7170982,51,6199950
eta,meta-llama,8,f16,1:128:16,0,1,2.9259,55,815,268,21,2726811,41,0,2732063,2790861,2799348,2819064,55,2727949
eta,meta-llama,8,f16,1:128:16,0,65,11.5554,59,865,38680503,15,5526779,40,0,44617970,45817191,47283286,48413594,59,44208194
eta,meta-llama,8,f16,1:128:16,0,33,11.5676,57,978,16979190,15,5531213,39,0,22663149,23681522,23898678,24330738,57,22511427
eta,meta-llama,8,f16,1:128:16,0,17,11.5677,56,835,6137581,14,5507000,39,0,11334856,13442378,13754961,14169690,56,11645462
eta,meta-llama,8,f16,1:128:16,0,49,11.6295,86,891,27748320,15,5508881,40,0,33652584,34579710,34870462,35251540,86,33258138
eta,meta-llama,8,f16,1:128:16,0,97,11.6415,63,1157,60031831,15,5485749,40,0,66350589,67375790,67701335,68139917,63,65518785
eta,meta-llama,8,f16,1:128:16,0,113,11.6417,118,866,70880758,14,5498225,39,0,77390647,78631028,79023790,79763654,118,76379894
eta,meta-llama,8,f16,1:128:16,0,81,11.6419,62,883,49474565,15,5516440,40,0,55584996,56727112,57730198,58928832,62,54991934
eta,meta-llama,8,bf16,1:24:8,0,1,2.96293,50,857,268,20,2699777,40,0,2686737,2777053,2784489,2794122,50,2700955
eta,meta-llama,8,bf16,1:24:8,0,9,11.148,53,850,714512,16,5746365,40,0,6163577,8678721,9010098,9387915,53,6461775
eta,meta-llama,8,bf16,1:24:8,0,17,11.148,54,860,6376482,15,5749663,38,0,12038878,13164758,14021986,14632098,54,12127052
eta,meta-llama,8,bf16,1:128:16,0,1,2.93825,52,853,282,21,2718614,40,0,2724221,2801388,2807966,2833359,52,2719804
eta,meta-llama,8,bf16,1:128:16,0,49,11.074,82,849,29006861,15,5763598,39,0,35105436,36593205,36960235,37603610,82,34771353
eta,meta-llama,8,bf16,1:128:16,0,17,11.0863,57,817,6397049,14,5738985,39,0,11770287,14964239,15376687,15749333,57,12136895
eta,meta-llama,8,bf16,1:128:16,0,97,11.1233,62,810,62984310,15,5764650,40,0,69697771,71657702,72204723,72751991,62,68749816
eta,meta-llama,8,bf16,1:128:16,0,33,11.1357,59,818,17657201,14,5756930,39,0,23469252,25557831,26152217,26976123,59,23414993
eta,meta-llama,8,bf16,1:128:16,0,81,11.148,61,835,51420646,15,5739463,41,0,57926914,59151643,59650748,60232443,61,57160991
eta,meta-llama,8,bf16,1:128:16,0,113,11.1603,70,827,73800618,15,5728191,40,0,80552982,81865826,82209524,82982632,70,79529683
eta,meta-llama,8,bf16,1:128:16,0,65,11.1851,59,812,40097484,14,5733097,40,0,46316885,47785988,48174206,48713113,59,45831439
eta,meta-llama,8,f32,1:24:8,0,1,3.04935,53,826,276,21,2618402,41,0,2623665,2661056,2663168,2670830,53,2619559
eta,meta-llama,8,f32,1:24:8,0,17,9.97521,54,850,7117536,15,6401622,40,0,13280085,15483442,16106234,16722393,54,13520055
eta,meta-llama,8,f32,1:24:8,0,9,10.0616,53,834,797141,15,6386906,39,0,6822606,8888139,9381139,10059134,53,7184927
eta,meta-llama,8,f32,1:128:16,0,1,2.99998,52,810,278,22,2665013,41,0,2654429,2750871,2761267,2783409,52,2666158
eta,meta-llama,8,f32,1:128:16,0,113,9.95031,143,847,82626544,14,6429203,39,0,90480683,92370031,92832779,93651582,143,89056638
eta,meta-llama,8,f32,1:128:16,0,33,9.96286,57,844,19648505,15,6427757,40,0,26271683,27845280,28474399,29762606,57,26077153
eta,meta-llama,8,f32,1:128:16,0,97,9.9752,63,819,69985249,15,6415189,41,0,77767894,78726780,78977638,79291565,63,76401304
eta,meta-llama,8,f32,1:128:16,0,17,9.97521,57,852,7078662,15,6361591,40,0,12934665,17306819,17947289,18699054,57,13441151
eta,meta-llama,8,f32,1:128:16,0,49,10.0493,68,825,32053540,15,6384674,40,0,38963063,40112804,40538449,41501947,68,38439086
eta,meta-llama,8,f32,1:128:16,0,65,10.0616,60,838,44434723,15,6359496,41,0,51581422,52862652,53235062,53730334,60,50795105
eta,meta-llama,8,f32,1:128:16,0,81,10.074,61,864,56852468,15,6356564,40,0,64110218,65430629,65806736,66626890,61,63209943
theta,rt-gemma3,8,f32,1:128:16,0,1,18.6639,45,3124,298,33,416627,1042,3871,423912,426900,427100,430877,3916,418916
theta,rt-gemma3,8,f32,1:128:16,4096,97,19.098,63,2692,33454201,23,416153,1146,3575,33806129,33807373,34211027,35464643,3638,33873436
theta,rt-gemma3,8,f32,1:128:16,4096,113,19.1027,81,4669,39788834,22,416145,1114,3685,40482525,40483295,40483371,40483559,3766,40209756
theta,rt-gemma3,8,f32,1:128:16,4096,49,19.1092,519,4169,19090374,22,416148,759,4918,20431088,20431780,20431879,20432127,5437,19510267
theta,rt-gemma3,8,f32,1:128:16,4096,17,19.3196,70,4286,5956774,23,416154,780,4445,7087999,7091248,7092522,7093521,4515,6374642
theta,rt-gemma3,8,f32,1:128:16,4096,81,19.3311,81,2197,32174287,23,416159,1158,3663,33805964,33806782,33807211,33807526,3744,32592613
theta,rt-gemma3,8,f32,1:128:16,4096,65,19.3312,63,1920,26551185,22,416149,1158,3631,27126701,27127573,27127732,27127790,3694,26969528
theta,rt-gemma3,8,f32,1:128:16,4096,33,19.3313,55,2273,13283983,22,416156,758,4953,13759936,13760400,13761876,13762125,5008,13702436
theta,rt-mistral,8,f32,1:128:16,4096,1,552.58,45,2479,274,27,9883,534,1224,13957,16657,16816,18404,1269,11586
theta,rt-mistral,8,f32,1:128:16,4096,17,5347.06,48,1816,3824,15,9815,531,9368,26078,32227,33164,34889,9416,14652
theta,rt-mistral,8,f32,1:128:16,4096,97,5393.23,59,982,125960,15,9806,533,6434,143616,150599,154808,162194,6493,136827
theta,rt-mistral,8,f32,1:128:16,4096,113,5393.31,62,1097,152728,15,9808,530,3262,167565,170669,171760,174479,3324,163570
theta,rt-mistral,8,f32,1:128:16,4096,33,5397.08,49,1429,24710,15,9803,527,12344,50359,59800,61217,63775,12393,35594
theta,rt-mistral,8,f32,1:128:16,4096,81,5399.26,54,1062,105593,15,9804,523,2883,119931,123307,124371,126827,2937,116404
theta,rt-mistral,8,f32,1:128:16,4096,65,5406.78,53,1104,82319,15,9801,512,2303,96000,98873,99897,102011,2356,93123
theta,rt-mistral,8,f32,1:128:16,4096,49,5413.08,50,1219,57809,15,9794,511,2970,72307,74968,75916,77681,3020,68590
iota,rt-gemma3,1,f32,1:128:16,8192,1,13.4986,43,1223,284,41,71957,131,263,73855,74427,74533,77026,306,73426
iota,rt-gemma3,1,f32,1:128:16,8192,17,18.7751,48,1195,527599,36,362912,1084,1234,909491,1105216,1105972,1205499,1282,892691
iota,rt-gemma3,1,f32,1:128:16,8192,33,19.0253,53,1336,1275857,36,415175,1185,949,1670238,2086671,2087584,2088490,1002,1693405
iota,rt-gemma3,1,f32,1:128:16,8192,97,19.1083,56,1364,4532815,36,416232,1197,1164,5010566,5426586,5427866,5428817,1220,4951411
iota,rt-gemma3,1,f32,1:128:16,8192,65,19.1084,51,1450,2906122,36,416227,1188,975,3340351,3756761,3757687,3758433,1026,3324765
iota,rt-gemma3,1,f32,1:128:16,8192,81,19.1085,57,1399,3719435,36,416232,1195,1135,4175530,4591632,4592819,4593769,1192,4138052
iota,rt-gemma3,1,f32,1:128:16,8192,113,19.3255,179,1306,5347647,36,416235,1196,1115,5845647,6262069,6262918,6263692,1294,5766206
iota,rt-gemma3,1,f32,1:128:16,8192,49,19.3308,50,1424,2083842,36,416247,1163,851,2505218,2921727,2922471,2923322,901,2502486
iota,rt-gemma3,4,f32,1:128:16,8192,1,17.5532,47,2111,269,32,221196,624,2348,227098,227670,227800,227916,2395,223045
iota,rt-gemma3,4,f32,1:128:16,8192,17,19.0983,55,2763,2956493,28,413940,1217,3635,3343687,3760167,3760732,3761326,3690,3372600
iota,rt-gemma3,4,f32,1:128:16,8192,49,19.104,110,2060,9026313,29,416191,1214,3012,10020450,10437716,10438408,10440908,3122,9444713
iota,rt-gemma3,4,f32,1:128:16,8192,113,19.1086,282,1424,22244136,29,416196,1208,2871,23379195,23796769,23798122,23800307,3153,22662523
iota,rt-gemma3,4,f32,1:128:16,8192,97,19.1089,79,1490,19217029,30,416198,1247,2803,20043162,20460416,20461128,20464254,2882,19635456
iota,rt-gemma3,4,f32,1:128:16,8192,65,19.1089,57,1283,13118202,29,416196,1208,2904,13363568,13777346,13779680,13780687,2961,13536541
iota,rt-gemma3,4,f32,1:128:16,8192,81,19.1089,69,1400,16200977,29,416186,1206,3033,16701611,17117890,17119072,17121227,3102,16619337
iota,rt-gemma3,4,f32,1:128:16,8192,33,19.3163,59,2763,5976941,29,416201,1228,3179,6681582,7098145,7099661,7100669,3238,6395344
iota,rt-gemma3,8,f32,1:128:16,8192,1,18.6628,44,3083,270,32,416257,1240,4676,424921,428719,428776,428892,4720,418648
iota,rt-gemma3,8,f32,1:128:16,8192,17,19.0987,87,4181,5963555,21,416223,1215,5329,7096792,7099277,7100264,7100966,5416,6381931
iota,rt-gemma3,8,f32,1:128:16,8192,113,19.1007,76,1837,39903660,21,416211,1211,4610,40493297,40496078,40496282,40496491,4686,40322019
iota,rt-gemma3,8,f32,1:128:16,8192,49,19.1088,74,2099,19067179,21,416220,1199,5634,20456221,20458363,20458780,20459050,5708,19485546
iota,rt-gemma3,8,f32,1:128:16,8192,33,19.1091,55,1611,13303737,21,416206,1193,5456,13775846,13776415,13776875,13777142,5511,13722061
iota,rt-gemma3,8,f32,1:128:16,8192,81,19.1091,123,2050,32184008,21,416214,1196,5540,33815472,33816255,33816329,33816447,5663,32602300
iota,rt-gemma3,8,f32,1:128:16,8192,65,19.3313,61,1911,26567920,21,416226,1200,5502,27138980,27141658,27141845,27142109,5563,26986405
iota,rt-gemma3,8,f32,1:128:16,8192,97,19.3314,64,1711,33468250,21,416208,1201,4693,33815031,33815511,34325562,35577469,4757,33886524
iota,rt-mistral,1,f32,1:128:16,8192,1,90.3954,37,968,284,27,9515,75,149,11008,11315,11395,11554,186,10849
iota,rt-mistral,1,f32,1:128:16,8192,17,1494.33,40,615,612,25,9543,179,352,11204,12283,12725,13797,392,10939
iota,rt-mistral,1,f32,1:128:16,8192,33,2654.64,42,617,1019,29,9730,349,635,12141,14430,15225,16739,677,11698
iota,rt-mistral,1,f32,1:128:16,8192,49,3493.31,46,620,1794,29,9814,417,1297,13643,17235,18442,20795,1343,12620
iota,rt-mistral,1,f32,1:128:16,8192,65,4127.38,53,806,2301,29,9873,460,2218,15372,20445,21203,22367,2271,13408
iota,rt-mistral,1,f32,1:128:16,8192,81,4643.16,74,998,2951,28,9908,488,2990,17680,21359,21936,23151,3064,14312
iota,rt-mistral,1,f32,1:128:16,8192,97,5350.26,109,1104,3204,28,9941,516,3219,18229,21731,22417,23897,3328,14731
iota,rt-mistral,1,f32,1:128:16,8192,113,5969.22,145,931,4801,27,9962,502,2554,19111,21608,22163,23305,2699,16162
