Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1753461642,100,,Aggregated,0.600000,0.000000,26000,39000,56000,66000,90000,95000,99000,106000,109000,109000,109000,493,0,26000.0,38327.2791462258,5565.094707999378,108798.86454198277,21731.782961460445
1753461643,100,,Aggregated,0.700000,0.000000,26000,39000,56000,66000,90000,95000,99000,106000,109000,109000,109000,494,0,26000.0,38279.30174351887,5565.094707999378,108798.86454198277,21812.184210526317
1753461644,100,,Aggregated,0.700000,0.000000,26000,39000,56000,66000,90000,95000,99000,106000,109000,109000,109000,494,0,26000.0,38279.30174351887,5565.094707999378,108798.86454198277,21812.184210526317
1753461645,100,,Aggregated,0.700000,0.000000,26000,39000,56000,66000,90000,95000,99000,106000,109000,109000,109000,494,0,26000.0,38279.30174351887,5565.094707999378,108798.86454198277,21812.184210526317
1753461646,100,,Aggregated,0.700000,0.000000,26000,39000,56000,66000,90000,95000,99000,106000,109000,109000,109000,494,0,26000.0,38279.30174351887,5565.094707999378,108798.86454198277,21812.184210526317
1753461647,100,,Aggregated,0.400000,0.000000,26000,38000,56000,66000,90000,95000,99000,106000,109000,109000,109000,495,0,26000.0,38251.610544289586,5565.094707999378,108798.86454198277,21779.20404040404
1753461648,100,,Aggregated,0.300000,0.000000,26000,38000,56000,64000,90000,95000,99000,106000,109000,109000,109000,496,0,26000.0,38208.99019305715,5565.094707999378,108798.86454198277,21744.002016129034
1753461649,100,,Aggregated,0.300000,0.000000,26000,38000,56000,64000,90000,95000,99000,106000,109000,109000,109000,496,0,26000.0,38208.99019305715,5565.094707999378,108798.86454198277,21744.002016129034
1753461650,100,,Aggregated,0.300000,0.000000,26000,38000,56000,64000,90000,95000,99000,106000,109000,109000,109000,496,0,26000.0,38208.99019305715,5565.094707999378,108798.86454198277,21744.002016129034
1753461651,100,,Aggregated,0.300000,0.000000,26000,38000,56000,64000,90000,95000,99000,106000,109000,109000,109000,496,0,26000.0,38208.99019305715,5565.094707999378,108798.86454198277,21744.002016129034
1753461652,100,,Aggregated,0.300000,0.000000,26000,38000,56000,64000,90000,95000,99000,106000,109000,109000,109000,496,0,26000.0,38208.99019305715,5565.094707999378,108798.86454198277,21744.002016129034
1753461653,100,,Aggregated,0.300000,0.000000,26000,38000,56000,64000,90000,95000,99000,106000,109000,109000,109000,497,0,26000.0,38168.66706138099,5565.094707999378,108798.86454198277,21708.941649899396
