Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,request/response,response wait,Avg GPU Utilization,Avg GPU Power Usage,Max GPU Memory Usage,Total GPU Memory
1,2.96293,50,857,268,20,2699777,40,0,2686737,2777053,2784489,2794122,50,2700955,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.076713;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.0721605;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.0770062;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.0772994;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.0767438;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.077037;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.0771605;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0.0419753;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:265.132;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:248.007;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:264.396;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:256.368;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:262.116;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:256.623;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:263.497;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:255.247;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:91292172288;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:68947017728;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:91292172288;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:91292172288;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:91292172288;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:91292172288;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:91292172288;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:69131567104;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
9,11.148,53,850,714512,16,5746365,40,0,6163577,8678721,9010098,9387915,53,6461775,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.485478;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.368981;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.48125;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.488302;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.488704;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.486373;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.479753;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0.252454;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:322.302;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:265.633;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:321.059;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:311.728;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:317.487;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:311.754;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:320.502;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:285.109;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:91292172288;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:68947017728;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:91292172288;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:91292172288;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:91292172288;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:91292172288;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:91292172288;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:69131567104;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
17,11.148,54,860,6376482,15,5749663,38,0,12038878,13164758,14021986,14632098,54,12127052,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.482068;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.3675;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.48591;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.475494;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.48;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.477747;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.477176;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0.252809;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:322.788;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:265.485;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:320.681;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:311.412;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:317.387;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:311.546;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:320.295;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:285.109;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:91292172288;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:68947017728;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:91292172288;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:91292172288;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:91292172288;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:91292172288;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:91292172288;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:69131567104;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
